Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Akonia Holographics acquired by Apple,Akonia Holographics,Apple,"Aug 29, 2018",—,Acquisition,—,Akonia Holographics focuses on the development of advanced data storage technologies based on holography.,—,"Data Storage, Enterprise Software, Manufacturing","Longmont, Colorado, United States",—,"$11,600,000",M&A,1,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
avVenta acquired by Accenture,avVenta,Accenture,"Oct 9, 2012",—,Acquisition,—,avVenta offers digital production services to address the demands of digital marketing and interactive advertising.,—,"Advertising, Digital Marketing, Marketing, Service Industry, Web Design","New York, New York, United States",—,"$20,000,000",M&A,1,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Coral Software acquired by Apple,Coral Software,Apple,"Apr 1, 1989",—,Acquisition,—,Coral Software is a software company specializing in programming languages and artificial intelligence tools.,—,"Artificial Intelligence, Information Technology, Software","Cambridge, Massachusetts, United States",—,—,M&A,—,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Realworld OO Systems Ltd. acquired by Accenture,Realworld OO Systems Ltd.,Accenture,"Nov 1, 2016",—,Acquisition,—,Realworld OO Systems is a provider of geospatial location solutions.,—,"Information and Communications Technology (ICT), Software","Culemborg, Gelderland, The Netherlands",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Avalon Books acquired by Amazon,Avalon Books,Amazon,"Jun 4, 2012",—,Acquisition,—,"Avalon Books, a small, 62-year-old publisher that specializes in romance and mysteries.",—,Education,—,—,—,M&A,—,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
RiskControl acquired by Accenture,RiskControl,Accenture,"Feb 12, 2010",—,—,—,RiskControl is a Consulting company.,—,Consulting,—,—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Exchange.Com acquired by Amazon,Exchange.Com,Amazon,"Apr 27, 1999",—,Acquisition,Stock,Exchange.Com is a company that was acquired by Amazon in 1999.,—,"E-Commerce, Internet, Music",—,—,—,M&A,—,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Chaotic Moon Studios acquired by Accenture,Chaotic Moon Studios,Accenture,"Jul 22, 2015",—,Acquisition,—,"We transform business for the world’s biggest brands by designing, developing and delivering digital experiences of consequence.",—,"Android, Brand Marketing, Business Information Systems, Content, Digital Media, iOS, Product Design, Project Management, Software","Austin, Texas, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Premier Source acquired by AmerisourceBergen Corporation,Premier Source,AmerisourceBergen Corporation,"Sep 2, 2011",—,Acquisition,—,"Premier Source, a privately held company that provides consulting and reimbursement services to medical device.",—,"Biotechnology, Health Care, Pharmaceutical","Fort Mill, South Carolina, United States",—,—,M&A,—,AmerisourceBergen Corporation provides pharmaceutical supply chain distribution & pharmacy management solutions.,"Enterprise Software, Health Care, Medical","Valley Forge, Pennsylvania, United States",—,—,IPO,—
General Parts International acquired by Advance Auto Parts,General Parts International,Advance Auto Parts,"Oct 16, 2013",—,—,Cash,"General Parts International, Inc., through its subsidiaries, distributes automotive replacement parts in the United States.",—,Automotive,"Raleigh, North Carolina, United States",—,—,M&A,—,"Advance Auto Parts is the largest automotive aftermarket parts provider in North America, serves both the professional installer.","Automotive, Manufacturing","Roanoke, Virginia, United States",—,—,IPO,—
harvest.ai acquired by Amazon,harvest.ai,Amazon,"Jan 9, 2017","$20,000,000",Acquihire,—,"Harvest.ai is a data security firm that enables organizations to identify and stop data breaches, insider threats, and stolen credentials.",—,"Artificial Intelligence, Cloud Security, Cyber Security, Predictive Analytics","San Diego, California, United States",—,"$2,793,000",M&A,3,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Motec GmbH acquired by AMETEK,Motec GmbH,AMETEK,"Jul 31, 2018",—,Acquisition,—,"Motec, a provider of integrated vision systems serving the high growth mobile machine vision market.",—,"Electronics, Manufacturing","Hadamar, Hessen, Germany",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
createspace acquired by Amazon,createspace,Amazon,"Jul 11, 2005",—,—,—,"Createspace is a company that allows for individuals to publish and distribute books, music, and films to thousands of online retailers.",—,"E-Commerce, Music, News, Publishing","North Charleston, South Carolina, United States",—,—,M&A,—,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Amerigroup acquired by Anthem,Amerigroup,Anthem,"Jul 10, 2012","$4,900,000,000",Acquisition,Cash,Amerigroup only business is managing publicly funded health programs for our nation’s most vulnerable.,—,Health Care,"Virginia Beach, Virginia, United States",—,—,M&A,—,Transform health care with trusted and caring solutions.,"Health Care, Insurance","Indianapolis, Indiana, United States",—,—,IPO,—
MWI Veterinary Supply acquired by AmerisourceBergen Corporation,MWI Veterinary Supply,AmerisourceBergen Corporation,"Jan 12, 2015","$2,500,000,000",Acquisition,Stock,"Millard Wallace Ickes, DVM, founded MWI in Nampa, Idaho, in 1976 to address the needs of veterinarians in the Northwest.",—,Health Care,"Boise, Idaho, United States",—,—,M&A,—,AmerisourceBergen Corporation provides pharmaceutical supply chain distribution & pharmacy management solutions.,"Enterprise Software, Health Care, Medical","Valley Forge, Pennsylvania, United States",—,—,IPO,—
Boxer Cross acquired by Applied Materials,Boxer Cross,Applied Materials,"Apr 29, 2003",—,Acquisition,—,Boxer Cross manufactures in-line monitoring systems that provide critical electrical measurement data.,—,"Manufacturing, Semiconductor","Menlo Park, California, United States",—,—,M&A,—,"Applied Materials provides manufacturing solutions for the semiconductor, flat panel display and solar photovoltaic industries.","Electronics, Manufacturing, Semiconductor","Santa Clara, California, United States",—,"$1,153,814",IPO,1
RealFace acquired by Apple,RealFace,Apple,"Feb 19, 2017","$2,000,000",Acquisition,—,Realface is innovating user authentication with the worlds leading face recognition technology,—,"Apps, Computer Vision, Machine Learning, Photo Sharing, Software","Tel Aviv, Tel Aviv, Israel",—,—,M&A,—,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Color Labs Inc. acquired by Apple,Color Labs Inc.,Apple,"Nov 12, 2012","$7,000,000",Acquihire,Cash & Stock,"Color Labs aims to reinvent social interaction through Color, its mobile photo app.",—,"Internet, Local, Location Based Services, Mobile, Photo Sharing, Photography","Burlingame, California, United States",—,"$41,000,000",M&A,1,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
EMVANTAGE Payments acquired by Amazon,EMVANTAGE Payments,Amazon,"Feb 16, 2016",—,Acquisition,—,"Emvantage offers an online payment gateway platform compatible with credit card, debit card, and net banking.",—,"Mobile Payments, Payments","New Delhi, Delhi, India",—,—,M&A,—,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Advecor acquired by Alliance Data Systems,Advecor,Alliance Data Systems,"Dec 31, 2012",—,Acquisition,—,"Advecor is a provider of performance-driven, cross media marketing solutions.",—,Marketing,"San Diego, California, United States",—,—,M&A,—,"Alliance Data Systems provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries.","Advertising, Loyalty Programs, Marketing","Plano, Texas, United States",—,—,IPO,—
Computational Engineering International acquired by ANSYS,Computational Engineering International,ANSYS,"Jul 11, 2017",—,Acquisition,—,"Computational Engineering International is the developer of a suite of products that helps engineers and scientists analyze, visualize.",—,Software,"Apex, North Carolina, United States",—,—,M&A,—,ANSYS develops engineering simulation software used to predict how product designs will behave and how manufacturing processes will operate.,"Enterprise Software, Information Services, Information Technology, Software","Canonsburg, Pennsylvania, United States",—,—,IPO,—
Sagacious Consultants acquired by Accenture,Sagacious Consultants,Accenture,"Sep 23, 2015",—,Acquisition,—,Sagacious Consultants leverages its extensive Epic and industry experience to offer innovative solutions.,—,"Consulting, Health Care","Lenexa, Kansas, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
US Bioservices acquired by AmerisourceBergen Corporation,US Bioservices,AmerisourceBergen Corporation,"Jan 17, 2003","$160,000,000",Acquisition,—,"Providing trusted patient support for over 20 years, US Bioservices is AmerisourceBergen’s independent specialty pharmacy.",—,"Biopharma, Biotechnology, Pharmaceutical","Frisco, Texas, United States",—,—,M&A,—,AmerisourceBergen Corporation provides pharmaceutical supply chain distribution & pharmacy management solutions.,"Enterprise Software, Health Care, Medical","Valley Forge, Pennsylvania, United States",—,—,IPO,—
Teradyne Connection Systems acquired by Amphenol Corporation,Teradyne Connection Systems,Amphenol Corporation,"Dec 1, 2005","$390,000,000",Acquisition,Cash,"Teradyne Connection Systems manufactures high-density electronic connectors, complete backplanes, and systems packaging.",—,Manufacturing,"Nashua, New Hampshire, United States",—,—,M&A,—,Amphenol is one of the largest manufacturers of interconnect products in the world.,Hardware,"Wallingford, Connecticut, United States",—,—,IPO,—
Dailys acquired by 3M,Dailys,3M,"Jul 6, 2010",—,—,—,Dailys is a family business with over 40 years of experience in converting non-woven fabrics.,—,—,"Bracknell, Bracknell Forest, United Kingdom",—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
Axia Ltd. acquired by Accenture,Axia Ltd.,Accenture,"Apr 3, 2015",—,Acquisition,—,"Axia Ltd., is a strategy consulting services provider.",—,Consulting,"Boston, Massachusetts, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
E Wood Holdings acquired by 3M,E Wood Holdings,3M,"May 1, 2007",—,—,—,"E Wood Holdings is a manufacturer of high-performance protective coatings for oil, gas, water, rail and automotive industries.",—,Manufacturing,"Northallerton, North Yorkshire, United Kingdom",—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
Autopart International acquired by Advance Auto Parts,Autopart International,Advance Auto Parts,"Sep 15, 2005",—,Acquisition,Stock,"Autopart International, Inc. distributes replacement parts for foreign and domestic nameplate cars and light trucks.",—,Automotive,"Norton, Massachusetts, United States",—,—,M&A,—,"Advance Auto Parts is the largest automotive aftermarket parts provider in North America, serves both the professional installer.","Automotive, Manufacturing","Roanoke, Virginia, United States",—,—,IPO,—
BR Towers acquired by American Tower,BR Towers,American Tower,"Jun 16, 2014","$978,000,000",Acquisition,—,"BR Towers, specializing in managing telecom infrastructure company",—,"Infrastructure, Telecommunications, Wireless","São Paulo, Sao Paulo, Brazil",—,—,M&A,—,American Tower offers its users with a variety of wireless infrastructure solutions around the world.,"Public Relations, Wireless","Boston, Massachusetts, United States",—,—,IPO,—
Texture by Next Issue acquired by Apple,Texture by Next Issue,Apple,"Mar 13, 2018",—,Acquisition,—,Texture by Next Issue is an online media company that provides digital publishing services.,—,"Content, Digital Entertainment, Digital Media, News, Publishing","Menlo Park, California, United States",—,—,M&A,—,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
NetSelector acquired by Apple,NetSelector,Apple,"Jan 7, 2000",—,—,—,NetSelector is a company that was acquired by Apple in 2000,—,"Information Technology, Internet, Software",—,—,—,M&A,—,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
GoodBarry acquired by Adobe Systems,GoodBarry,Adobe Systems,"Aug 31, 2009",—,—,—,"GoodBarry, an integrated online business system, offers website content management, e-commerce, business analytics and simple CRM.",—,"CRM, E-Commerce, Enterprise Software","San Francisco, California, United States",—,—,M&A,—,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
Zygo Corporation acquired by AMETEK,Zygo Corporation,AMETEK,"Apr 11, 2014","$280,000,000",—,—,Zygo Corporation develops high end optical systems and components for metrology and end-user applications.,—,"3D Technology, Manufacturing, Optical Communication","Middlefield, Connecticut, United States",—,"$9,000,000",M&A,1,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
Metaio acquired by Apple,Metaio,Apple,"May 28, 2015",—,Acquisition,—,Metaio is technology company that develops augmented reality software technology and solutions.,—,"Augmented Reality, Mobile, Software","Munich, Bayern, Germany",—,—,M&A,—,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Body Labs acquired by Amazon,Body Labs,Amazon,"Oct 4, 2017",—,Acquisition,—,Body Labs is a horizontal solution provider of human-aware AI.,—,"3D Technology, Artificial Intelligence, Computer Vision, Developer APIs, Machine Learning","New York, New York, United States",—,"$13,200,000",M&A,2,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
Central Illinois Light Company acquired by Ameren Services,Central Illinois Light Company,Ameren Services,"Apr 29, 2002",—,Acquisition,—,"CILCORP Inc., through its subsidiaries, engages in rate-regulated electric and natural gas transmission and distribution in Illinois.",—,Oil and Gas,"Peoria, Illinois, United States",—,—,M&A,—,Ameren Corporation (Ameren) is a utility holding company.,"Consumer Electronics, Electrical Distribution, Energy, Oil and Gas, Solar","St Louis, Missouri, United States",—,—,IPO,—
Repsol - Egypt YPF assets acquired by Apache Corp,Repsol - Egypt YPF assets,Apache Corp,"Jan 23, 2001","$410,000,000",Acquisition,—,"Repsol - Egypt YPF is a provider of gas exploration, development, production services.",—,Oil and Gas,"Cairo, Al Qahirah, Egypt",—,—,M&A,—,Apache Corporation is an oil and gas exploration and production company with operations world wide.,"Energy, Natural Resources, Oil and Gas","Houston, Texas, United States",—,—,IPO,—
BPI China acquired by Amcor Ltd,BPI China,Amcor Ltd,"Jan 27, 2016","$13,000,000",Acquisition,—,BPI China manufactures polythene film.,—,"Chemical, Electronics, Manufacturing",—,—,—,M&A,—,"Amcor Ltd is a provider of packaging solutions in Australia, Western Europe, North America.","Chemical, Information Technology, Manufacturing, Medical, Packaging Services","Hawthorn, Victoria, Australia",—,—,IPO,—
Day Software acquired by Adobe Systems,Day Software,Adobe Systems,"Jul 28, 2010","$240,000,000",—,Cash,"Day Software develops web applications that allow customers to deploy global, multi-lingual internet initiatives.",—,"Apps, Marketing, Software","Basel, Basel-Stadt, Switzerland",—,—,M&A,1,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
LiveBid acquired by Amazon,LiveBid,Amazon,"Apr 12, 1999",—,Acquisition,—,LiveBid is a broadcast service for traditional auction houses that allows them to stream their events online and let bidders participate.,—,Auctions,"Prague, Hlavni mesto Praha, Czech Republic",—,"$1,500,000",M&A,1,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
California 7 Studios acquired by Activision Blizzard,California 7 Studios,Activision Blizzard,"Apr 6, 2009",—,—,—,7 Studios is a Game Development Studio.,—,"Apps, Mobile, Software, Video Games","Los Angeles, California, United States",—,—,M&A,—,"Activision Blizzard is an entertainment company that develops, publishes, and distributes video games for gaming consoles.","eSports, Gaming, Video Games","Santa Monica, California, United States",—,—,IPO,—
PennEngineering Motion Technologies acquired by AMETEK,PennEngineering Motion Technologies,AMETEK,"May 16, 2006","$64,000,000",Acquisition,Cash,PennEngineering Motion Technologies is a designer and manufacturer of highly engineered motors for niche applications in the data storage.,—,"Machinery Manufacturing, Manufacturing","Harleysville, Pennsylvania, United States",—,—,M&A,—,AMETEK is a global manufacturer of electronic instruments and electromechanical devices.,"Electronics, Manufacturing","Berwyn, Pennsylvania, United States",—,—,M&A,—
Hornell International acquired by 3M,Hornell International,3M,"Jan 12, 2004","SEK750,000,000",Acquisition,—,"Hornell International AB, a Gagnef, Sweden-based provider of personal protective equipment for welding applications.",—,Manufacturing,"Gagnef, Dalarnas Lan, Sweden",—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
DMS Chile acquired by 3M,DMS Chile,3M,"May 15, 2007",—,—,—,"DMS Chile is a manufacturer of disposable surgical packs, drapes, gowns and kits.",—,"Health Care, Manufacturing","Santiago, Region Metropolitana, Chile",—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
Catherex acquired by Amgen,Catherex,Amgen,"Dec 21, 2015",—,Acquisition,—,"In April 2010, Medigene assigned its development program of oncolytic (cancer-killing) herpes simplex viruses (oHSV), to Catherex, Inc.",—,"Health Care, Medical",—,—,—,M&A,—,Amgen is one of the world’s leading biotechnology companies.,"Biotechnology, Health Care, Pharmaceutical","Thousand Oaks, California, United States",—,—,IPO,—
Food Diagnostics acquired by 3M,Food Diagnostics,3M,"Nov 7, 2008",—,—,—,Food Diagnostics is a provider of food diagnostics products and services for the food safety industry in Norway.,—,"Agriculture, Biotechnology, Food and Beverage",—,—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
Emerald City Software acquired by Adobe Systems,Emerald City Software,Adobe Systems,"Mar 26, 1990",—,Acquisition,—,Emerald City Software develops software for graphic arts.,—,Software,"Seattle, Washington, United States",—,—,M&A,—,Adobe provides digital media and digital marketing solutions.,"Collaboration, Enterprise Software, Image Recognition, Photo Editing, Software","San Jose, California, United States",—,—,IPO,2
Allen International acquired by Accenture,Allen International,Accenture,"Oct 18, 2016",—,Acquisition,—,Allen International is a strategic design consultancy.,—,"Business Development, Product Design","London, England, United Kingdom",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
LifeCell acquired by Allergan,LifeCell,Allergan,"Dec 20, 2016","$2,900,000,000",Acquisition,Cash,Tissue Repair Products,—,"Biotechnology, Developer Platform, Therapeutics","Bridgewater, New Jersey, United States",—,—,M&A,—,Allergan is a global pharmaceutical company.,"Biotechnology, Education, Medical, Pharmaceutical, Universities","Madison, Wisconsin, United States",—,—,M&A,—
Spektral acquired by Apple,Spektral,Apple,"Dec 1, 2017","$30,000,000",Acquisition,Cash,Spektral is a visual effects company that applies machine learning to image and video editing.,—,"Artificial Intelligence, Digital Media, Machine Learning, Video Editing","Copenhagen, Hovedstaden, Denmark",—,"$3,300,000",M&A,2,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
ROVI Cosmetics International acquired by Air Products and Chemicals,ROVI Cosmetics International,Air Products and Chemicals,"Feb 13, 2012",—,Acquisition,—,"ROVI Cosmetics International develops and produces delivery systems for dermal applications. It offers aloe vera, decolour complex.",—,"Biotechnology, Manufacturing","Schlüchtern, Hessen, Germany",—,—,M&A,—,"Air Products supplier of industrial gases and equipment, specialty and intermediate chemicals, and environmental and energy systems.","Chemical, Chemical Engineering, Industrial, Medical Device, Semiconductor, Transportation","Kelayres, Pennsylvania, United States",—,—,IPO,—
Attenti acquired by 3M,Attenti,3M,"Aug 31, 2010",—,—,Cash,monitoring technologies,—,Security,"Tel Aviv, Tel Aviv, Israel",—,—,M&A,1,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
UpNext acquired by Amazon,UpNext,Amazon,"Jul 2, 2012",—,—,—,"Upnext is an interactive 3D mapping platform engaged in digital strategy, mobile application development and user experience design.",—,"3D Technology, Enterprise Software, iOS, Location Based Services, Mobile","New York, New York, United States",—,"$556,799",M&A,1,"Amazon is an international e-commerce website for consumers, sellers, and content creators.","Business Development, Crowdsourcing, Delivery, Delivery Service, E-Commerce, Internet, Retail, Shipping","Seattle, Washington, United States",—,"$108,000,000",IPO,2
designaffairs acquired by Accenture,designaffairs,Accenture,"Aug 6, 2018",—,Acquisition,—,"designaffairs is a strategic design consultancy developing brand shaping, innovative and human centered solutions.",—,Consulting,"Munich, Bayern, Germany",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
The Townsend Group acquired by Aon plc,The Townsend Group,Aon plc,"Sep 5, 2017","$475,000,000",Acquisition,—,Townsend Holdings LLC (d/b/a The Townsend Group) is a leading provider of global investment management and advisory services.,—,"Commercial Real Estate, Financial Services, Real Estate","Cleveland, Ohio, United States",—,—,M&A,—,"Aon is a global provider of risk management, insurance and reinsurance brokerage, human resources solutions and outsourcing services.","Consulting, Professional Services, Risk Management","London, England, United Kingdom",—,—,M&A,—
Spotsetter acquired by Apple,Spotsetter,Apple,"Jun 6, 2014","$10,000,000",Acquisition,—,Spotsetter is a social search engine that makes personalized recommendations for places to visit and things to try.,—,"Big Data, Social Media","San Francisco, California, United States",—,"$1,300,000",M&A,2,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Nida-Core acquired by 3M,Nida-Core,3M,"Jan 3, 2011",—,—,—,"Nida-Core manufactures & distributes light, strong, durable, virgin and/or recycled engineered products, sold in more than 50 countries.",—,"Computer, Consumer Goods, Manufacturing","Port St. Lucie, Florida, United States",—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
"George Group Consulting, L.P. acquired by Accenture","George Group Consulting, L.P.",Accenture,"Jul 19, 2007",—,Acquisition,—,George Group Consulting is a consulting firm.,—,Consulting,"Dallas, Texas, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Diamond Productions acquired by 3M,Diamond Productions,3M,"Jun 6, 2007",—,—,—,Diamond Productions is a manufacturer of superabrasive diamond and CBN (cubic boron nitride) wheels and tools.,—,Manufacturing,—,—,—,M&A,—,"3M operates as a diversified technology company, manufacturing more than 55,000 products, including adhesives, laminates, and many more.","Automotive, Electronics, Enterprise Software","Saint Paul, Minnesota, United States",—,—,IPO,—
Endoart acquired by Allergan,Endoart,Allergan,"Feb 22, 2007","$97,000,000",Acquisition,—,EndoArt SA,—,"Developer Platform, Health Care, Medical Device","Cluj-napoca, Cluj, Romania",—,—,M&A,2,Allergan is a global pharmaceutical company.,"Biotechnology, Education, Medical, Pharmaceutical, Universities","Madison, Wisconsin, United States",—,—,M&A,—
Brightstep AB acquired by Accenture,Brightstep AB,Accenture,"Jun 23, 2015",—,Acquisition,—,Brightstep is a Swedish digital consulting company.,—,"Consulting, Digital Media","Stockholm, Stockholms Lan, Sweden",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
Stratagene acquired by Agilent Technologies,Stratagene,Agilent Technologies,"Jun 13, 2007","$250,000,000",Acquisition,—,"Stratagene is a laboratory which provides services,instruments,applications,consumables,expertise and enabling customers.",—,"Biotechnology, Education","Santa Clara, California, United States",—,—,M&A,—,Agilent offers products and support to meet all your lab needs.,"Biotechnology, Hardware, Health Diagnostics","Santa Clara, California, United States",—,—,IPO,—
faceshift acquired by Apple,faceshift,Apple,"Nov 24, 2015",—,Acquisition,—,Faceshift is a motion capture platform that enables its users to design virtual avatars.,—,"Artificial Intelligence, Broadcasting, Computer Vision, Content Creators, Digital Media, Facial Recognition, Information Technology, Machine Learning","Zürich, Zurich, Switzerland",—,"CHF130,000",M&A,4,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.","Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Cupertino, California, United States",—,"$6,150,250,000",IPO,4
Enaxis Consulting acquired by Accenture,Enaxis Consulting,Accenture,"Dec 3, 2018",—,Acquisition,—,Enaxis Consulting is a consulting firm with operations in Houston.,—,"Consulting, Information Technology","Houston, Texas, United States",—,—,M&A,—,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction, Consulting, Information Technology, Outsourcing","Dublin, Dublin, Ireland",—,"$6,000,000",IPO,1
